Property,text,Unnamed: 2,translated_Property,translated_text
Antiziganistische / Stigmatisierende Elemente,"
Im Gegensatz zu vielen Darstellungen dieser Zeit: keine offensichtlichen antiziganistischen Stereotype. Der dargestellte Mann wird nicht exotisiert oder kriminalisiert, sondern erscheint würdevoll, selbstbewusst und bürgerlich. Titel „Pipázó cigány“ (übersetzt: „Pfeife rauchender Zigeuner“) verwendet die historisch belastete Bezeichnung „Zigeuner“.

Schon durch die Benennung wird eine Fremdzuschreibung vorgenommen: Statt den individuellen Namen des Modells zu nennen, wird seine ethnische Zugehörigkeit betont und stereotyp markiert.

Die Wortwahl verstärkt eine folkloristische Rahmung („Zigeuner“ + Pfeife als romantisierende, exotisierende Attribute).

→ Auch wenn das Bild selbst individuelle Würde zeigt, reproduziert der Titel eine kulturelle Distanz und eine Fremddefinition.",,Anti -Zigan / stigmatizing elements,"In contrast to many representations of this time: no obvious anti -Ziganistic stereotypes. The man depicted is not exoticized or criminalized, but appears dignified, confident and bourgeois. Title ""Pipázó Cigány"" (translated: ""Pipe of smoking gypsies"") uses the historically loaded term ""Gypsy"".

An external attribution is already carried out by the name: Instead of naming the individual name of the model, its ethnicity is emphasized and stereotype is marked.

The choice of words increases a folkloristic frame (""Gypsy"" + pipe as romanticizing, exotic attributes).

→ Even if the picture itself shows individual dignity, the title reproduces a cultural distance and a foreign definition."
Agency,"Starke Präsenz und Selbstbehauptung der dargestellten Figur; Haltung und Ausdruck vermitteln individuelle Würde und Agency. Der Mann erscheint als autonomes Subjekt, nicht als Objekt fremder Projektionen. Im Bild selbst:
Der dargestellte Mann wirkt ruhig, präsent und würdevoll. Sein Blick, seine Körperhaltung und die Darstellung vermeiden klassische Stereotypisierungen.

Im Titel:
Die Agency wird teilweise unterlaufen: Durch die fremdzuweisende Bezeichnung „cigány“ wird der Mann auf seine (vermeintliche) ethnische Herkunft reduziert, nicht als individuelles Subjekt benannt.

→ Es entsteht eine Spannung zwischen Bild und Titel:

Das Bild gibt dem Modell Agency,

der Titel reduziert diese durch eine stereotype Fremdmarkierung.",,Agent,"Strong presence and self -assertion of the figure shown; Pretentation and expression convey individual dignity and agency. The man appears as an autonomous subject, not as an object of foreign projections. In the picture itself:
The man depicted looks calm, present and dignified. His eyes, posture and representation avoid classic stereotypicals.

In the title:
The agency is partially undermined: by the external term ""Cigány"", the man is reduced to his (supposed) ethnic origin, not named as an individual subject.

→ There is a tension between image and title:

The picture gives the Agency model,

The title reduces this with a stereotypical external marking."
Transmediale Beziehungen,"Weniger Anbindung an klassische Medienstereotype (wie Literatur oder Fotografie über „Zigeuner“); stattdessen Annäherung an moderne bürgerliche Porträttraditionen. Subtiler Bruch mit der gängigen Ikonografie. Zwischen Rippl-Rónais Pipázó cigány und Kunffys Zwei Zigeuner besteht eine transmediale Beziehung: Beide Werke zeigen vermutlich dieselbe Person, jedoch in unterschiedlichen Narrativen. Während Kunffy stereotypisierende Motive reproduziert, betont Rippl-Rónai Individualität und Würde. Die Darstellung variiert je nach medialem Kontext (Einzelporträt vs. Doppelporträt).",,Transmedial relationships,"Less connection to classic media stereotypes (such as literature or photography about ""gypsy""); Instead, approaching modern bourgeois portrait traditions. Subtle break with common iconography. Between Rippl-Rónais Pipázó Cigány and Kunffy's two gypsies there is a transmedia relationship: Both works probably show the same person, but in different narratives. While Kunffy reproduces stereotypical motifs, Rippl-Rónai emphasizes individuality and dignity. The presentation varies depending on the media context (individual portrait vs. double portrait)."
Narrativwandel bei Medienwechsel,"Rippl-Rónais Werk leitet einen narrativen Wandel ein: Weg vom exotisierenden Narrativ hin zu einer humanisierenden Perspektive, die in der späteren Roma-Kunst und sozialkritischen Fotografie des 20. Jahrhunderts weiterentwickelt wird.",,Narrative change in media change,Rippl-Rónai's work introduces a narrative change: away from the exotic narrative to a humananized perspective that is further developed in the later Roma art and socially critical photography of the 20th century.
Reproduktionsweg,Ursprünglich geschaffen als Teil von Rippl-Rónais Beschäftigung mit der ländlichen Bevölkerung in Südungarn, Verbreitung durch Ausstellungen und kunsthistorische Publikationen als Beispiel für eine frühe individuelle Darstellung von Roma ohne Stereotypisierung.,Reproduction path,Originally created as part of Rippl-Rónai's occupation with the rural population in South Hungary
Sammlung / Archiv / Fundort,Privatbesitz,,Collection / archive / location,Private ownership
Provenienz,Ermittlung der Daten…,,Provenance,Determination of the data ...
Literatur,"Gerhard Baumgartner und Éva Kovács Zur Ikonografie der »Zigeunerbilder« der Moderne. In: Eva Pankok – Romani Rose (Hg.): Otto Pankok Sinti-Porträts 1931 bis 1949. Damm und Lindlar Verlag, Berlin 2008: 38-57. ",,literature,"Gerhard Baumgartner and Éva Kovács on the iconography of the ""Gypsy Pictures"" of modernity. In: Eva Pankok-Romani Rose (ed.): Otto Pankok Sinti portraits 1931 to 1949. Damm and Lindlar Verlag, Berlin 2008: 38-57."
Ausstellungen / Aufführungen / Veröffentlichungen,Ermittlung der Daten,,Exhibitions / performances / publications,Determination of the data
Beschriftung,"Ermittlung der Daten: Signatur, Vorderseite (links oben): ?
Aufkleber, Rückseite, oben links, auf dem Rahmen: ?",,lettering,"Determination of the data: signature, front (top left) :?
Sticker, back, top left, on the frame :?"
Rechte / Lizenzen,Ermittlung der Daten,,Right / licenses,Determination of the data
Digitalisat-Link/Pfad,X,,Digitized link/path,X
Metadaten-Status,X,,Metadata status,X
Erfasst von,Andre Raatzsch,,Calculated by,Andre Raatzsch
Erfassungsdatum,4/28/2025,,Detection date,4/28/2025
Kommentar / Anmerkung,X,,Comment / note,X
