Property,text,Unnamed: 2,translated_Property,translated_text
Antiziganistische / Stigmatisierende Elemente,"
Im Katalog „Zigeuner-Darstellungen“ der Moderne wird die mediale Kategorisierung von Roma & Sinti als Teil stereotypisierender Framings dargestellt. Exotisierende, romantisierende und kriminalisierende Bilder werden kritisch analysiert und als Ausdruck fremdbestimmter Repräsentationen gezeigt, die zur gesellschaftlichen Ausgrenzung beigetragen haben.",,Anti -Zigan / stigmatizing elements,"In the ""Gypsy representations"" catalog, the media categorization of Roma & Sinti is shown as part of stereotypical framings. Exoticizing, romanticizing and criminalizing images are critically analyzed and shown as an expression of externally determined representations that have contributed to the social exclusion."
Agency,"Im Katalog „Zigeuner-Darstellungen“ der Moderne wird gezeigt, wie Roma und Sinti in den medialen Bildwelten ihrer Agency beraubt werden: Sie erscheinen nicht als selbstbestimmte Akteure, sondern als Projektionsflächen fremder Vorstellungen, die zur gesellschaftlichen Ausgrenzung beitrugen.",,Agent,"In the ""Gypsy representations"" catalog, modernity shows how Roma and Sinti are deprived of in the medial vision worlds of their agency: they do not appear as self-determined actors, but as projection surfaces of foreign ideas that contributed to social exclusion."
Transmediale Beziehungen,"Im Katalog werden u.A. die Werke von Lajos Kunffy, darunter auch das Ölgemälde Zwei Zigeuner, behandelt. Dadurch entsteht eine transmediale Beziehung zwischen der kunsthistorischen Analyse und der bildlichen Darstellung, die stereotype Framings von Roma und Sinti in verschiedenen Medienformen sichtbar macht.",,Transmedial relationships,"In the catalog, The works of Lajos Kunffy, including the oil painting, dealt with two gypsies. This creates a transmedial relationship between art -historical analysis and the visual representation that makes the stereotypical framings of Roma and Sinti visible in various media forms."
Narrativwandel bei Medienwechsel,Ermittlung der Daten…,,Narrative change in media change,Determination of the data ...
Reproduktionsweg,Ermittlung der Daten…,,Reproduction path,Determination of the data ...
Sammlung / Archiv / Fundort,Krems an der Donau: Kunsthalle (Österreich),,Collection / archive / location,Krems on the Danube: Kunsthalle (Austria)
Provenienz,Ermittlung der Daten…,,Provenance,Determination of the data ...
Literatur,Ermittlung der Daten…,,literature,Determination of the data ...
Ausstellungen / Aufführungen / Veröffentlichungen,"Gerhard Baumgartner, Ausstellung Roma & Sinti. Zigeuner-Darstellungen der Moderne (2007, Krems an der Donau) und Kunsthalle Krems GND https://d-nb.info/98583935X",,Exhibitions / performances / publications,"Gerhard Baumgartner, Roma & Sinti exhibition. Gypsy representations of modernity (2007, Krems on the Danube) and Kunsthalle Krems Gnd https://d-nb.info/98583935x"
Beschriftung,"Ermittlung der Daten: Signatur, Vorderseite (links oben): ?
Aufkleber, Rückseite, oben links, auf dem Rahmen: ?",,lettering,"Determination of the data: signature, front (top left) :?
Sticker, back, top left, on the frame :?"
Rechte / Lizenzen,"Lajos Kunffy- Memorial-Museum, Somogytúr, Ungarn",,Right / licenses,"Lajos Kunffy Memorial Museum, Somogytúr, Hungary"
Digitalisat-Link/Pfad,X,,Digitized link/path,X
Metadaten-Status,X,,Metadata status,X
Erfasst von,Andre Raatzsch,,Calculated by,Andre Raatzsch
Erfassungsdatum,4/28/2025,,Detection date,4/28/2025
Kommentar / Anmerkung,X,,Comment / note,X
