Property,Unnamed: 1,text,Hinweis,translated_Property,translated_text
Motive / Topoi ,,"In diesem Feld werden zentrale Themen, wiederkehrende Darstellungen oder kulturelle Stereotype erfasst, die im Werk sichtbar sind.
Dazu gehören Motive wie Wanderschaft, Freiheit, Fremdheit, Naturverbundenheit oder Lagerleben sowie spezifische Themen wie Handlesen, Wahrsagerei oder Kinderraub.
Bitte benennen Sie sowohl neutrale als auch stigmatisierende Inhalte, um Narrative und Repräsentationsmuster kritisch nachvollziehen zu können.",,Motifs / topoi,"In this field, central topics, recurring representations or cultural stereotypes are recorded that are visible in the factory.
This includes motifs such as hiking, freedom, strangeness, nature closeness or camp life as well as specific topics such as hand reading, fortune telling or child robbery.
Please name both neutral and stigmatizing content in order to be able to critically understand narrative and representation patterns."
Narrative / Diskurse,,"In diesem Feld wird dokumentiert, welche übergeordneten Erzählmuster und gesellschaftlichen Bedeutungsrahmen das Werk prägen.
Erfasst werden soll, welche Geschichten oder Perspektiven vermittelt werden (z. B. Freiheit, Fremdheit, Verfolgung) und in welche größeren gesellschaftlichen Diskurse sie eingebettet sind, wie etwa Antiziganismus, Rassismus oder koloniale Deutungsmuster.",,Narrative / discourses,"In this field it is documented which overarching narrative patterns and social meaning shape the work.
It is to be recorded which stories or perspectives are conveyed (e.g. freedom, strangeness, persecution) and in which larger social discourses they are embedded, such as anti -quantism, racism or colonial interpretation patterns."
Historischer Kontext,,"In diesem Feld soll der gesellschaftliche, politische oder kulturelle Rahmen beschrieben werden, in dem das Werk entstanden ist oder auf den es sich bezieht.
Zur Orientierung können folgende historische Zeiträume herangezogen werden: ca. 1830–1848 (frühe Romantik und nationale Bewegungen in verschiedenen Teilen Europas), die Revolutionen von 1848 (insbesondere in Frankreich, Deutschland, Italien, Ungarn und Österreich), die Phase der nationalstaatlichen Konsolidierung und verstärkten Minderheitenkontrolle zwischen 1850 und 1914, der Erste Weltkrieg (1914–1918) mit europaweiter Repression und Militarisierung, die politisch instabile Zwischenkriegszeit (1918–1939) mit der Verabschiedung rassistischer Sondergesetze in vielen Staaten, die NS-Zeit (1933–1945) mit der systematischen Verfolgung und Ermordung von Sinti und Roma im von Deutschland besetzten Europa sowie die frühe Nachkriegszeit (1945–1950) mit beginnender Aufarbeitung, aber weiterhin bestehenden Diskriminierungsstrukturen.
Diese Beispiele dienen lediglich als Anhaltspunkte. Bitte analysieren und beschreiben Sie den spezifischen historischen und kulturhistorischen Kontext des jeweiligen Werkes individuell und berücksichtigen Sie dabei auch regionale und nationale Besonderheiten.",,Historical context,"In this field, the social, political or cultural framework in which the work has arisen or to which it refers is to be described.
The following historical periods can be used for orientation: approx. 1830–1848 (early romance and national movements in various parts of Europe), the revolutions of 1848 (especially in France, Germany, Italy, Hungary and Austria), the phase of nation -state consolidation and increased minority control between 1850 and 1914, the first World War (1914–1918) with Europe -wide repression and Militarization, the politically unstable interwar period (1918–1939) with the adoption of racist special laws in many countries, the Nazi era (1933–1945) with the systematic persecution and murder of Sinti and Roma in Europe occupied by Germany as well as the early post-war period (1945–1950) with the beginning, but still existing Discrimination structures.
These examples only serve as indications. Please analyze and describe the specific historical and cultural -historical context of the respective work individually and also take into account regional and national peculiarities."
Antiziganistische / Stigmatisierende Elemente,,"In diesem Feld sollen Begriffe, Darstellungen oder Narrative erfasst werden, die antiziganistische oder anderweitig stigmatisierende Inhalte transportieren.
Typische Beispiele sind die Verwendung abwertender Begriffe wie „Zigeuner“, die Darstellung von Sinti*zze und Rom*nja als kriminell, arbeitsscheu oder exotisch-romantisiert, sowie stereotype Motive wie Handleserei, Kinderraub oder mystische Fähigkeiten.
Auch die Darstellung als Bedrohung für Eigentum und Ordnung, die Reduktion auf Rollen wie Musiker*in, Wahrsager*in oder Dieb*in, sowie Bilder, die Sinti*zze und Rom*nja als unzivilisierte „Fremde“ oder ewige Außenseiterinnen zeigen, können als stigmatisierend gelten.
Bitte prüfen Sie sorgfältig, ob und wie das Werk solche Elemente aufweist, und dokumentieren Sie diese kritisch.",,Anti -Zigan / stigmatizing elements,"In this field, terms, representations or narratives are to be recorded that transport anti -Ziganist or otherwise stigmatizing content.
Typical examples are the use of derogatory terms such as ""gypsy"", the representation of Sinti*Zze and Rome*nja as criminal, shy or exotic romanticized, as well as stereotypical motifs such as hand reading, child robbery or mystical skills.
The presentation as a threat to property and order, the reduction on roles such as musicians, fortune tellers or thief*in, as well as pictures that show Sinti*Zze and Rome*as uncivilized ""foreign"" or eternal outsider, can be considered stigmatizing.
Please check carefully whether and how the work has such elements and critically document them."
Agency,,"Rekonstruktion der Agency von Sinti*zze und Rom*nja. In diesem Feld sollen Form(en) der Selbstermächtigung, Selbstrepräsentation oder Selbstartikulation dokumentiert werden, die im Werk sichtbar werden oder den dargestellten Personen zugeordnet werden können. Agency bezeichnet die Fähigkeit von Individuen oder Gruppen, als handelnde Subjekte aufzutreten, eigene Perspektiven sichtbar zu machen und bestehende Stereotypen oder dominante Deutungsmuster bewusst zu durchbrechen.
Bitte prüfen Sie, ob und in welcher Weise das Werk solche Momente der Selbstbehauptung, Selbstrepräsentation oder bewussten Gegenpositionierung erkennen lässt.",,Agent,"Reconstruction of the agency of Sinti*Zze and Rome*Nja. In this field, form (s) of self -empowerment, self -representation or self -launch are to be documented, which can be visible in the factory or can be assigned to the persons shown. Agency denotes the ability of individuals or groups to appear as acting subjects, to make their own perspectives visible and to consciously break through existing stereotypes or dominant interpretation patterns.
Please check whether and in what way the work shows such moments of self -assertion, self -representation or conscious counter positioning."
Verknüpfung ,,"Verlinkung verwandter Werke auch in anderen Medienformen (z. B. Vorlage für Film, Adaption als Illustration etc.) Dieses Feld erfasst thematische oder narrative Verbindungen zwischen Darstellungen von Sinti*zze und Rom*nja und anderen marginalisierten Communities, etwa jüdischen, Schwarzen, indigenen oder migrantischen Gruppen. Bitte prüfen Sie kritisch, ob ähnliche Muster von Stigmatisierung, Selbstermächtigung oder Repräsentation erkennbar sind.",,Link,"Link of related works also in other media forms (e.g. template for film, adaptation as illustration etc.) This field records thematic or narrative connections between representations of Sinti*Zze and Rome*nja and other marginalized communities, such as Jewish, black, indigenous or migrant groups. Please check critically whether similar patterns of stigmatization, self -empowerment or representation are recognizable."
Narrativwandel bei Medienwechsel,,"Falls das Werk Adaptionen, Bearbeitungen oder Übertragungen in andere Medien erfahren hat, bitte entsprechende Veränderungen dokumentieren.",,Narrative change in media change,"If the work has learned adaptations, processing or transmissions to other media, please document appropriate changes."
Rezeptionsweg,,"In diesem Feld soll dokumentiert werden, auf welchem Weg das Werk rezipiert, verbreitet oder weitervermittelt wurde. Auch Veränderungen in der öffentlichen Wahrnehmung oder Umdeutungen im Laufe der Zeit gehören dazu.
Dabei kann es sich um Erstveröffentlichungen, Neuauflagen, Ausstellungen, Aufführungen, Übersetzungen, Verfilmungen oder weitere mediale Adaptionen handeln. 
Bitte geben Sie an, ob das Werk beispielsweise durch eine breite Veröffentlichung, museale Präsentationen, wissenschaftliche Bearbeitungen oder populärkulturelle Verarbeitungen eine besondere Reichweite oder Bedeutungsverschiebung erfahren hat.",,Way of reception,"In this field, it is to be documented in which way the work has been received, distributed or passed on. Changes in public perception or reinterpretation over time are also included.
These can be initial publications, new editions, exhibitions, performances, translations, films or other media adaptations. 
Please indicate whether the work has experienced a special reach or shift in meaning, for example, through a broad publication, museum presentations, scientific processing or popular cultural processing."
Sammlung / Archiv ,,"Name der Institution oder Sammlung, in der das Werk verwahrt wird; ggf. Inventarnummer oder Signatur angeben.",,Collection / archive,"Name of the institution or collection in which the work is kept; If necessary, specify inventory number or signature."
Provenienz,,"In diesem Feld soll die Herkunfts- und Besitzgeschichte des Werkes erfasst werden, einschließlich Entstehungszusammenhang, früherer Eigentümer*innen und Stationen in Sammlungen oder Archiven.
Bitte beachten Sie insbesondere mögliche Übertragungen im Kontext von Kolonialismus, Enteignung, Diskriminierung oder gewaltsamer Aneignung, um kritische Aspekte der Werkgeschichte sichtbar zu machen.",,Provenance,"In this field, the history of origin and ownership of the work is to be recorded, including context, former owners and stations in collections or archives.
Please note in particular possible transmissions in the context of colonialism, expropriation, discrimination or violent appropriation in order to make critical aspects of the history of the work."
Literatur,,Wissenschaftliche oder publizistische Referenzen,,literature,Scientific or journalistic references
Ausstellungen / Aufführungen / Veröffentlichungen,,"Präsentationen, Aufführungen, Ausstellungen",,Exhibitions / performances / publications,"Presentations, performances, exhibitions"
Objekt- oder Werkteil,,"Bitte angeben, ob es sich um ein vollständiges Werk oder einen Teil (z. B. Fragment, Szene, Auszug) handelt",,Object or work part,"Please indicate whether it is a complete work or part (e.g. fragment, scene, extract)"
Rechte / Lizenzen,,"Bitte erfassen Sie Urheberrechte, Nutzungsbedingungen oder bestehende Lizenzen des Werkes, wie etwa „Alle Rechte vorbehalten“, „Creative Commons“-Lizenzen (z. B. CC BY, CC BY-SA), Gemeinfreiheit (Public Domain) oder institutionelle Nutzungseinschränkungen.",,Right / licenses,"Please record copyrights, terms of use or existing licenses of the work, such as ""All rights reserved"", ""Creative Commons"" licenses (e.g. CC by, CC BY-SA), public freedom (public domain) or institutional restrictions on use."
Digitalisat-Link/Pfad,,"In diesem Feld soll der Verweis auf ein vorhandenes Digitalisat des Werkes eingetragen werden.
Bitte geben Sie die genaue URL (bei Online-Verfügbarkeit) oder den Speicherort bzw. Pfad innerhalb eines digitalen Archivsystems an.
Alternativ oder ergänzend kann das Digitalisat (z. B. Scan, Fotografie, audiovisuelle Datei) auch direkt eingereicht oder hochgeladen werden, sofern dies technisch möglich ist.
Das Ziel ist es, die Auffindbarkeit, Zugänglichkeit und langfristige Sicherung der digitalen Version zu gewährleisten. 
Bitte beachten Sie, dass zu diesem Punkt weitere Hinweise zu Dateiformaten, Ablagestrukturen und Dateibenennungen zu einem späteren Zeitpunkt folgen werden, da die geplante Forschungsumgebung bzw. multimodale Datenbank derzeit noch in Entwicklung ist.",,Digitized link/path,"In this field, the reference to an existing digitalized digitized is to be entered.
Please indicate the exact URL (with online availability) or the location or path within a digital archive system.
Alternatively or in addition, the digitized (e.g. scan, photography, audiovisual file) can also be submitted or uploaded directly, provided this is technically possible.
The goal is to ensure the findability, accessibility and long -term securing of the digital version. 
Please note that further information on file formats, filing structures and file ranges will follow at a later date, since the planned research environment or multimodal database is currently still being developed."
Metadaten-Status,,"Bitte Bearbeitungsstand angeben: Vollständig, Teilweise, In Bearbeitung oder Offene Fragen.",,Metadata status,"Please specify the processing status: complete, partly, in processing or open questions."
Erfasst von,,Name oder Kürzel der erfassenden Person/Gruppe angeben.,,Calculated by,Specify the name or abbreviation of the captivating person/group.
Erfassungsdatum,,"In diesem Feld soll das Datum eingetragen werden, an dem die Erfassung oder die letzte wesentliche Bearbeitung des Datensatzes vorgenommen wurde.
Bitte verwenden Sie das Format TT.MM.JJJJ, um eine einheitliche Dokumentation und spätere Nachverfolgbarkeit der Erfassungs- und Bearbeitungsprozesse zu gewährleisten.",,Detection date,"The date is to be entered in this field, on which the recording or the last essential processing of the data record was carried out.
Please use the format TT.JJJJ to ensure uniform documentation and later traceability of the registration and processing processes."
Kommentar / Anmerkung,,"Hier können zusätzliche Informationen oder Hinweise eingetragen werden, die in den anderen Feldern nicht abgebildet sind.",,Comment / note,Additional information or information can be entered here that are not mapped in the other fields.
Versionsgeschichte,,"In diesem Feld sollen wesentliche Änderungen und Bearbeitungen des Datensatzes nachvollziehbar dokumentiert werden.
Bitte geben Sie Datum, Bearbeiter*in und eine kurze Beschreibung der Änderung an.
Die Versionsgeschichte dient der Transparenz des Entstehungs- und Überarbeitungsprozesses der Metadaten.

Beispiel für die Dokumentation:
Version 1.0 – 2023-05-01: Ersterfassung des Datensatzes durch Max Mustermann.
Version 1.1 – 2023-05-10: Titel angepasst, Rechtschreibfehler korrigiert, hinzugefügt von Anna Beispiel.
Version 2.0 – 2023-06-01: Erweiterung der Beschreibung und Hinzufügung von Metadaten, geändert von Maria Beispiel.",,Version history,"In this field, significant changes and processing of the data record are to be documented in a comprehensible manner.
Please enter the date, editor and a brief description of the change.
The version history serves to transparency the creation and revision process of metadata.

Example of the documentation:
Version 1.0-2023-05-01: First recording of the data record by Max Mustermann.
Version 1.1-2023-05-10: Title adjusted, spelling errors corrected, added by Anna example.
Version 2.0-2023-06-01: Expansion of the description and addition of metadata, changed by Maria Example."
